,song_id,song_name,album,artist,duration(ms),release_date,acousticness,danceability,energy,insturmentalness,key,liveness,loudness,mode,spechiness,tempo,time_signature,valence,popularity,binary_popularity
64,0tfgbbx3n9EFL4fKIAQRBC,Plain Sailing Weather,Tape Deck Heart (Deluxe Edition),Frank Turner,241852,2013-01-01,0.025,0.604,0.857,0.0,2,0.121,-4.2,1,0.107,157.848,4,0.675,40,0
65,2utZKtvgklEpRly1Twczxh,After You,After You,Pulp,334992,2013-01-28,0.00036,0.662,0.725,0.0601,2,0.064,-8.824,1,0.0386,125.996,4,0.735,0,0
66,7LuojryrN6VkYWbax5dWTv,Just Movement,Just Movement,Robert DeLong,224493,2013-02-05,0.762,0.653,0.764,0.0033,7,0.133,-4.827,1,0.0298,140.012,4,0.136,0,0
67,6pP4bceLIsE13mlkLWzjm2,You Take Me As I Am,Tales from Terra Firma,Stornoway,309653,2013-03-11,0.0351,0.561,0.839,5.2e-05,2,0.092,-4.888,1,0.034,111.871,4,0.504,0,0
68,2vK2rpGTLsAHIEnBExH9wB,On The Sea,Bloom,Beach House,332466,2012-05-13,0.724,0.47,0.52,0.05,3,0.0938,-7.675,1,0.029,102.281,3,0.191,0,0
69,0SlCGqseokg8qXSBJRQwII,Don't Try,Arc (Deluxe),Everything Everything,253600,2013-01-14,0.426,0.571,0.68,0.0156,5,0.316,-7.152,1,0.0567,134.971,4,0.229,27,0
70,1Af8316JrmspF9hMWpDyAa,Storm,Django Django,Django Django,194306,2012-08-21,0.0661,0.728,0.759,4.11e-06,2,0.138,-6.31,1,0.0301,129.923,4,0.794,0,0
71,645lcnSNsfBvUxWY4GTNBv,We Do Parties,Breakup Song,Deerhoof,181746,2012-09-03,0.0121,0.556,0.836,2.67e-05,4,0.176,-4.116,0,0.167,168.183,4,0.74,0,0
72,2OsVwe7SubQyge9LJFTh0Y,Jack's Dream,Oblivion - Original Motion Picture Soundtrack,M83,82582,2013-04-08,0.961,0.135,0.0182,0.872,8,0.107,-29.793,1,0.0383,74.089,4,0.0641,0,0
73,4xArUnMbA4Ot1GFskqDMLm,Mrs Magpie in Its Right Place - Kamu Versus Remix,B to Berlin,Kamu,583362,2012-11-07,0.000556,0.836,0.68,0.895,5,0.0645,-7.071,0,0.0582,128.239,4,0.167,0,0
74,2F950w5JasEsPPHfspO5yn,Know Your Onion - Spotify Sessions Curated by Jim Eno,Spotify Sessions,The Shins,152653,2012-12-04,0.0443,0.458,0.805,2.41e-05,4,0.15,-6.121,1,0.0323,132.599,4,0.805,17,0
